Number,Category,Dedicate,Writer,BookName
1, تقدیم به اعضای خانواده,"تقدیم به پدر و مادرم که با عشق بی‌پایان و فداکاری‌های شبانه‌روزی خود، چراغ راه من در زندگی بوده‌اند و همواره مرا به سوی موفقیت هدایت کرده‌اند.",,
2, تقدیم به اعضای خانواده,"تقدیم به مادرم که با دستان مهربانش دنیای مرا رنگین کرده و به پدرم که با استقامت و حکمتش، الگوی من در زندگی است.",,
3, تقدیم به اعضای خانواده,"تقدیم به والدین عزیزم که با زحمات بی‌وقفه و تلاش‌های خستگی‌ناپذیرشان، زمینه را برای تحصیلاتم فراهم کردند و همیشه حامی من بوده‌اند.",,
4, تقدیم به اعضای خانواده,"تقدیم به پدر بزرگوارم که با صبوری و تجربه‌اش، درس‌های زندگی را به من آموخت و به مادرم که محبتش همچون آفتاب گرم زندگی‌ام است.",,
5, تقدیم به اعضای خانواده,"تقدیم به والدین عزیزم که با عشق و فداکاری‌هایشان، مرا در این مسیر دشوار یاری کردند و همواره در کنار من بودند.",,
6, تقدیم به اعضای خانواده,"تقدیم به والدینم که با تلاش‌های بی‌وقفه‌شان، به من آموختند چگونه در برابر چالش‌ها ایستادگی کنم.",,
7, تقدیم به اعضای خانواده,"تقدیم به مادر مهربانم که با دلسوزی‌هایش، همواره پشتیبان من بوده و به پدرم که با قدرتش، الهام‌بخش من در زندگی است.",,
8, تقدیم به اعضای خانواده,"تقدیم به والدین عزیزم که با زحماتشان، زندگی‌ام را پر از عشق و امید کردند و همواره در کنارم بودند.",,
9, تقدیم به اعضای خانواده,"تقدیم به پدر بزرگوارم که با صبوری و استقامتش، مرا در مسیر علم راهنمایی کرد و به مادرم که نور امید من است.",,
10, تقدیم به اعضای خانواده,"تقدیم به والدین عزیزم که با زحماتشان، زندگی‌ام را پر از عشق و امید کردند و همواره در کنارم بودند.",,
11, تقدیم به اعضای خانواده,"تقدیم به پدر بزرگوارم که با حکمت و تجربه‌اش، چراغ راه من بوده و به مادرم که محبتش همچون نسیمی ملایم بر روح من می‌وزد.",,
12, تقدیم به اعضای خانواده,"تقدیم به والدینی که با فداکاری‌های بی‌پایان خود، زندگی مرا پر از عشق کردند؛ شما همیشه الهام‌بخش من بوده‌اید.",,
13, تقدیم به اعضای خانواده,تقدیم به مادر مهربانم که دستانش همیشه مایه آرامش من بوده‌اند؛ تو بهترین دوست و حامی من هستی.,,
14, تقدیم به اعضای خانواده,تقدیم به پدر عزیزم که صدای او همیشه در گوش من طنین‌انداز است؛ تو الگوی صبر و استقامت برای من هستی.,,
15, تقدیم به اعضای خانواده,تقدیم به والدین گرامی‌ام که بدون حمایت‌های شما هیچگاه نمی‌توانستم بر قله‌های موفقیت بایستم.,,
16, تقدیم به اعضای خانواده,تقدیم به مادرم که محبتش همچون آفتاب زندگی‌ام را روشن کرده؛ تو همیشه مایه دلگرمی من بوده‌ای.,,
17, تقدیم به اعضای خانواده,تقدیم به پدر بزرگوارم که با سختی‌ها جنگید تا آینده‌ای روشن برای من بسازد؛ وجودت مایه افتخار من است.,,
18, تقدیم به اعضای خانواده,تقدیم به والدین عزیزم که هر روز با تلاش‌هایشان مرا ترغیب کردند تا بهترین نسخه از خود باشم؛ سپاسگزار محبت‌هایتان هستم.,,
19, تقدیم به اعضای خانواده,تقدیم به مادر مهربانم که هرگز از حمایت‌هایت دست برنداشتی؛ تو قهرمان واقعی زندگی من هستی.,,
20, تقدیم به اعضای خانواده,تقدیم به پدر بزرگوارم که همیشه در سخت‌ترین لحظات کنارم بودی؛ تو دلیل اصلی موفقیت‌هایم هستی.,,
21, تقدیم به اعضای خانواده,"تقدیم به والدین عزیزم که با زحمات بی‌شمارشان، بذر علم را در دل من کاشتند؛ امیدوارم بتوانم این میراث را پاس بدارم.",,
22, تقدیم به اعضای خانواده,تقدیم به مادر نازنینم که دلسوزی‌هایش همیشه مایه آرامش روح من بوده؛ وجودت همچون گلی زیبا در باغ زندگی‌ام می‌درخشد.,,
23, تقدیم به اعضای خانواده,"تقدیم به پدر عزیزتر از جانم که با صبوری و حکمتش، مرا در مسیر علم هدایت کرد؛ تو بهترین معلم زندگی من هستی.",,
24, تقدیم به اعضای خانواده,تقدیم به والدین گرامی‌ام که عشق شما همچون نوری روشن بر سر راهم بوده است؛ سپاسگزار حمایت‌هایتان هستم.,,
25, تقدیم به اعضای خانواده,تقدیم به مادر مهربانم که وجودش همچون نسیمی ملایم بر روح من می‌وزد؛ تو بهترین هدیه‌ای هستی که خداوند نصیبم کرده است.,,
26, تقدیم به اعضای خانواده,تقدیم به پدر بزرگوارم که همیشه با حکمت و تجربه‌اش مرا راهنمایی کرده؛ وجودت مایه دلگرمی من است.,,
27, تقدیم به اعضای خانواده,تقدیم به والدینی که عشقشان را در دل من دمیدند؛ امیدوارم بتوانید از این اثر بهره ببرید.,,
28, تقدیم به اعضای خانواده,تقدیم به مادر نازنینم که دستانش همیشه مایه آرامش روح من بوده‌اند؛ تو بهترین دوست و حامی من هستی.,,
29, تقدیم به اعضای خانواده,تقدیم به پدر عزیزتر از جانم که صدای او همیشه در گوش من طنین‌انداز است؛ تو الگوی صبر و استقامت برای من هستی.,,
30, تقدیم به اعضای خانواده,تقدیم به والدینی گرامی‌ام که بدون حمایت‌های شما هیچگاه نمی‌توانستم بر قله‌های موفقیت بایستم.,,
31, تقدیم به اعضای خانواده,تقدیم به مادرم که محبتش همچون آفتاب زندگی‌ام را روشن کرده؛ تو همیشه مایه دلگرمی من بوده‌ای.,,
32, تقدیم به اعضای خانواده,تقدیم به پدر بزرگوارم که با سختی‌ها جنگید تا آینده‌ای روشن برای من بسازد؛ وجودت مایه افتخار من است.,,
33, تقدیم به اعضای خانواده,تقدیم به والدین عزیزم که هر روز با تلاش‌هایشان مرا ترغیب کردند تا بهترین نسخه از خود باشم؛ سپاسگزار محبت‌هایتان هستم.,,
34, تقدیم به اعضای خانواده,تقدیم به مادر مهربانم که هرگز از حمایت‌هایت دست برنداشتی؛ تو قهرمان واقعی زندگی من هستی.,,
35, تقدیم به اعضای خانواده,تقدیم به پدر بزرگوارم که همیشه در سخت‌ترین لحظات کنارم بودی؛ تو دلیل اصلی موفقیت‌هایم هستی.,,
36, تقدیم به اعضای خانواده,"تقدیم به والدین عزیزم که با زحمات بی‌شمارشان، بذر علم را در دل من کاشتند؛ امیدوارم بتوانم این میراث را پاس بدارم.",,
37, تقدیم به اعضای خانواده,تقدیم به مادر نازنینم که دلسوزی‌هایش همیشه مایه آرامش روح من بوده؛ وجودت همچون گلی زیبا در باغ زندگی‌ام می‌درخشد.,,
38, تقدیم به اعضای خانواده,"تقدیم به پدر عزیزتر از جانم که با صبوری و حکمتش، مرا در مسیر علم هدایت کرد؛ تو بهترین معلم زندگی من هستی.",,
39, تقدیم به اعضای خانواده,تقدیم به والدین گرامی‌ام که عشق شما همچون نوری روشن بر سر راهم بوده است؛ سپاسگزار حمایت‌هایتان هستم.,,
40, تقدیم به اعضای خانواده,تقدیم به مادر مهربانم که وجودش همچون نسیمی ملایم بر روح من می‌وزد؛ تو بهترین هدیه‌ای هستی که خداوند نصیب من کرده است.,,
1,تقدیم به دوست و همکار,"تقدیم به دوستی که در هر لحظه از زندگی‌ام، با محبت و حمایت‌هایش نور امید را در دلم زنده نگه داشت. تو همیشه چراغ راه من بوده‌ای.",,
2,تقدیم به دوست و همکار,"به همکار عزیزم که با همکاری صمیمانه‌اش، هر چالش را به فرصتی برای رشد تبدیل کرد. وجودت مایه دلگرمی و انگیزه من است.",,
3,تقدیم به دوست و همکار,"این اثر را به دوستی تقدیم می‌کنم که در روزهای سخت، با کلماتش مرا تسلی داد و نشان داد که هیچ چیز نمی‌تواند ما را از هم دور کند.",,
4,تقدیم به دوست و همکار,"به همکارم که با خلاقیت و ایده‌های نوآورانه‌اش، همیشه الهام‌بخش من بوده است. تو ثابت کرده‌ای که کار گروهی می‌تواند معجزه کند.",,
5,تقدیم به دوست و همکار,"این کتاب را به دوستی تقدیم می‌کنم که در سفر زندگی، همراه و همسفرم بوده است؛ وجودت همچون نسیمی ملایم در روزهای طوفانی است.",,
6,تقدیم به دوست و همکار,"به همکار عزیزم که با تلاش‌های بی‌وقفه‌اش، نه تنها پروژه‌ها را به سرانجام رساند بلکه دوستی واقعی را نیز در دل‌هایمان نهادینه کرد.",,
7,تقدیم به دوست و همکار,"این اثر را به دوستی تقدیم می‌کنم که با صداقت و وفاداری‌اش، همیشه در کنارم بوده و مرا در مسیر موفقیت یاری کرده است.",,
8,تقدیم به دوست و همکار,"به همکارم که با روحیه مثبتش، هر روز را به فرصتی برای یادگیری و رشد تبدیل می‌کند؛ تو الهام‌بخش من هستی.",,
9,تقدیم به دوست و همکار,"این کتاب را به دوستی تقدیم می‌کنم که با خنده‌ها و شادی‌هایش، زندگی‌ام را رنگین کرده و نشان داده که دوستی واقعی چه معنایی دارد.",,
10,تقدیم به دوست و همکار,"به همکار عزیزم که در هر قدم از این مسیر دشوار، با حمایت‌هایش مرا تشویق کرد؛ تو بهترین شریک کاری هستی که می‌توانستم داشته باشم.",,
11,تقدیم به دوست و همکار,این اثر را به دوستی تقدیم می‌کنم که با کلماتش دنیای مرا زیباتر کرده و همیشه مرا به سوی بهتر شدن سوق داده است.,,
12,تقدیم به دوست و همکار,"به همکارم که با همکاری‌اش، نه تنها پروژه‌ها را پیش بردیم بلکه دوستی عمیقی نیز شکل دادیم؛ وجودت مایه دلگرمی من است.",,
13,تقدیم به دوست و همکار,"این کتاب را به دوستی تقدیم می‌کنم که در روزهای سخت، همیشه در کنارم ایستاد و نشان داد که دوستی واقعی چه ارزشی دارد.",,
14,تقدیم به دوست و همکار,"به همکار عزیزم که با ایده‌های خلاقانه‌اش، هر روز را به یک ماجراجویی جدید تبدیل می‌کند؛ تو همیشه الهام‌بخش من هستی.",,
15,تقدیم به دوست و همکار,"این اثر را به دوستی تقدیم می‌کنم که با صبر و شکیبایی‌اش، مرا در مسیر یادگیری هدایت کرده و نشان داده است که هیچ چیز غیرممکن نیست.",,
16,تقدیم به دوست و همکار,"به همکار عزیزم که با روحیه مثبتش، همیشه توانسته است چالش‌ها را به فرصت‌هایی برای یادگیری تبدیل کند؛ تو مایه دلگرمی من هستی.",,
17,تقدیم به دوست و همکار,"این کتاب را به دوستی تقدیم می‌کنم که با عشق و محبتش، زندگی‌ام را غنی کرده و همیشه در کنارم بوده است؛ وجودت گرانبهاست.",,
18,تقدیم به دوست و همکار,"به همکار عزیزم که با تلاش‌های بی‌وقفه‌اش، نه تنها موفقیت‌های بزرگ را رقم زد بلکه دوستی واقعی را نیز در دل‌هایمان نهادینه کرد.",,
19,تقدیم به دوست و همکار,این اثر را به دوستی تقدیم می‌کنم که با حمایت‌هایش مرا در روزهای سخت یاری کرد؛ تو همچون ستاره‌ای در آسمان زندگی‌ام می‌درخشی.,,
20,تقدیم به دوست و همکار,به همکار عزیزم که همیشه با خنده‌هایش فضای کار را شاداب کرده و نشان داده است که کار کردن می‌تواند لذت‌بخش باشد؛ تو بهترین هستی!,,
21,تقدیم به دوست و همکار,این کتاب را به دوستی تقدیم می‌کنم که هرگز از یادآوری ارزش‌های انسانی غافل نشده و همیشه مرا به سوی خوبی‌ها هدایت کرده است.,,
22,تقدیم به دوست و همکار,"به همکار عزیزم که با صداقت و وفاداری‌اش، پایه‌های یک همکاری موفق را بنا نهاد؛ وجودت مایه افتخار من است!",,
23,تقدیم به دوست و همکار,"این اثر را به دوستی تقدیم می‌کنم که در هر قدم از این مسیر دشوار، همراهی وفادار بوده و نشان داده است که دوستی واقعی چه معنایی دارد!",,
24,تقدیم به دوست و همکار,"به همکار عزیزم که با تلاش‌های بی‌وقفه‌اش، نه تنها پروژه‌ها را پیش برد بلکه دوستی عمیقی نیز شکل داد؛ وجودت مایه دلگرمی من است!",,
25,تقدیم به دوست و همکار,این کتاب را به دوستی تقدیم می‌کنم که همیشه با کلماتش دنیای مرا زیباتر کرده و نشان داده است که عشق ورزیدن چه ارزشی دارد!,,
26,تقدیم به دوست و همکار,"به همکار عزیزم که با روحیه مثبتش، هر روز را به فرصتی برای یادگیری تبدیل می‌کند؛ تو الهام‌بخش من هستی!",,
27,تقدیم به دوست و همکار,"این اثر را به دوستی تقدیم می‌کنم که با صداقت و وفاداری‌اش، همیشه در کنارم بوده و مرا در مسیر موفقیت یاری کرده است!",,
28,تقدیم به دوست و همکار,"به همکار عزیزم که در هر قدم از این مسیر دشوار، با حمایت‌هایش مرا تشویق کرد؛ تو بهترین شریک کاری هستی!",,
29,تقدیم به دوست و همکار,"این کتاب را به دوستی تقدیم می‌کنم که در روزهای سخت، همیشه در کنارم ایستاد و نشان داد که دوستی واقعی چه ارزشی دارد!",,
30,تقدیم به دوست و همکار,"به همکار عزیزم که با ایده‌های خلاقانه‌اش، هر روز را به یک ماجراجویی جدید تبدیل می‌کند؛ تو همیشه الهام‌بخش من هستی!",,
31,تقدیم به دوست و همکار,"این اثر را به دوستی تقدیم می‌کنم که با صبر و شکیبایی‌اش، مرا در مسیر یادگیری هدایت کرده و نشان داده است هیچ چیز غیرممکن نیست!",,
32,تقدیم به دوست و همکار,"به همکار عزیزم که با روحیه مثبتش، همیشه توانسته است چالش‌ها را به فرصت‌هایی برای یادگیری تبدیل کند؛ تو مایه دلگرمی من هستی!",,
33,تقدیم به دوست و همکار,این کتاب را به دوستی تقدیم می‌کنم که با عشق و محبتش زندگی‌ام را غنی کرده و همیشه در کنار من بوده است؛ وجودت گرانبهاست!,,
34,تقدیم به دوست و همکار,"به همکار عزیزم که با تلاش‌های بی‌وقفه‌اش، نه تنها موفقیت‌های بزرگ رقم زد بلکه دوستی واقعی نیز شکل داد؛ وجودت مایه افتخار من است!",,
35,تقدیم به دوست و همکار,این اثر را به دوستی تقدیم می‌کنم که همیشه در کنار من بوده و نشان داده است چگونه باید برای رویاها جنگید!,,
36,تقدیم به دوست و همکار,به همکار عزیزم که با خلاقیتش توانسته‌ای فضای کارمان را شاداب کند؛ تو بهترین دوست کاری هستی!,,
37,تقدیم به دوست و همکار,این کتاب را به دوستانی تقدیم می‌کنم که بدون آنها این سفر ممکن نبود؛ شما مایه دلگرمی من بوده‌اید!,,
38,تقدیم به دوست و همکار,به همکارانی که هر روز برای بهتر شدن تلاش می‌کنند؛ شما الهام‌بخش من هستید!,,
39,تقدیم به دوست و همکار,این اثر کوچک‌ترین نشانه قدردانی از زحمات شماست؛ امیدوارم روزی بتوانم دین خود را ادا کنم!,,
1,تقدیم به معلم و استاد,"تقدیم به معلمی که با عشق و دلسوزی‌اش، چراغ راه من در تاریکی‌های زندگی بوده است. تو با علم و دانشت، دنیای مرا روشن کردی و همیشه در قلبم خواهی ماند. یاد و محبت تو همچون نوری در مسیر زندگی‌ام می‌درخشد.",,
2,تقدیم به معلم و استاد,"به استاد عزیزم که با صبر و محبت بی‌پایانش، نه تنها علم بلکه ارزش‌های انسانی را به من آموخت؛ وجودت مایه دلگرمی من است و همیشه در یادم خواهی ماند. تو با کلماتت، درخت دانش را در دل من بارور کردی و به من آموختی چگونه باید برای رویاهایم بجنگم.",,
3,تقدیم به معلم و استاد,"این اثر را به معلمی تقدیم می‌کنم که با کلماتش دنیای مرا رنگین کرده و نشان داده است که علم می‌تواند زندگی را متحول کند. تو با هر درس، دریچه‌ای جدید به سوی جهان باز کردی و مرا به جستجوگری تشویق کردی که هیچگاه از یادگیری خسته نمی‌شود.",,
4,تقدیم به معلم و استاد,"به استاد بزرگوارم که با دلسوزی و فداکاری‌اش، مرا از جهل به سوی نور هدایت کرد؛ وجودت مایه افتخار من است و همیشه در قلبم خواهی ماند. تو نشان دادی که علم تنها یک ابزار نیست، بلکه کلیدی است برای گشودن درهای جدید به سوی آینده‌ای روشن‌تر.",,
5,تقدیم به معلم و استاد,"این اثر را به یاد تمامی لحظاتی تقدیم می‌کنم که با زحمات تو آموخته‌ام چگونه باید برای رویاها جنگید؛ تو الهام‌بخش من هستی! هر بار که به چالش‌ها فکر می‌کنم، یاد درس‌های تو مرا قوت قلب می‌دهد تا هرگز تسلیم نشوم.",,
6,تقدیم به معلم و استاد,"به استاد عزیزم که با تلاش‌های شبانه‌روزی‌اش، نه تنها دانش را منتقل کرد بلکه دوستی واقعی را نیز در دل‌هایمان نهادینه کرد؛ وجودت مایه افتخار من است! تو همواره نشان داده‌ای که آموزش فراتر از انتقال اطلاعات است؛ این یک سفر مشترک است که ما را به هم پیوند می‌دهد.",,
7,تقدیم به معلم و استاد,"این اثر را به معلمی تقدیم می‌کنم که با عشق و محبتش زندگی‌ام را غنی کرده و همیشه در کنار من بوده است؛ وجودت گرانبهاست! هر بار که به چالش‌های زندگی فکر می‌کنم، یاد تو مرا تشویق می‌کند تا قوی‌تر از قبل ادامه دهم.",,
8,تقدیم به معلم و استاد,"به استاد بزرگوارم که با کلماتش دنیای مرا زیباتر کرده و نشان داده است که عشق ورزیدن چه ارزشی دارد؛ تو همیشه در قلب من خواهی بود! تو نه تنها یک معلم بلکه یک راهنما بودی که با نور علمت، تاریکی‌ها را روشن کردی.",,
9,تقدیم به معلم و استاد,این اثر به یاد تمامی کسانی تقدیم می‌شود که با زحماتشان چراغ راه ما بودند؛ شما همیشه در قلب ما خواهید ماند! هر کلمه‌ای از شما همچون دانه‌ای بود که در دل ما کاشته شد و حالا شکوفه‌های آن را می‌بینیم.,,
10,تقدیم به معلم و استاد,به معلم عزیزم که علمش همچون دریایی عمیق است؛ از شما سپاسگزارم که مرا در این دریای بی‌پایان غوطه‌ور کردید! شما با صبر و شکیبایی‌تان نشان دادید که یادگیری یک سفر بی‌پایان است و هر روز فرصتی برای کشف چیزهای جدید فراهم می‌کند.,,
11,تقدیم به معلم و استاد,این اثر را به دوستی تقدیم می‌کنم که همواره با کلماتش مرا تشویق کرده و نشان داده است چگونه باید برای رویاها جنگید! تو همواره الهام‌بخش من بوده‌ای و یادآوری می‌کنی که هیچ چیز غیرممکن نیست اگر اراده واقعی داشته باشیم.,,
12,تقدیم به معلم و استاد,"به استاد عزیزم که با صداقت و وفاداری‌اش، پایه‌های یک همکاری موفق را بنا نهاد؛ وجودت مایه دلگرمی من بوده است! تو همواره نشان داده‌ای که همکاری واقعی بر پایه اعتماد و احترام متقابل بنا می‌شود و این ارزش‌ها را در دل ما نهادینه کردی.",,
13,تقدیم به معلم و استاد,این اثر را به معلم بزرگوارم تقدیم می‌کنم که با علمش زندگی مرا تغییر داد؛ سپاسگزار محبت‌هایت هستم! تو نه تنها دانش‌آموخته‌ای برجسته هستی بلکه انسانی بزرگوار هستی که همواره برای دیگران وقت گذاشته‌ای تا آنها نیز رشد کنند.,,
14,تقدیم به معلم و استاد,"به استاد عزیزم که با کلماتش دنیای مرا روشن کرد؛ از شما سپاسگزارم برای تمام زحماتتان! هر بار که درس‌های شما را مرور می‌کنم، احساس می‌کنم دوباره در کلاس درس شما نشسته‌ام و از علمتان بهره‌مند می‌شوم.",,
15,تقدیم به معلم و استاد,این اثر را به یاد تمام لحظاتی تقدیم می‌کنم که با وجود سرکشی‌هایم صبورانه ایستادی و چراغ راهم شدی; تو همیشه در قلب من خواهی بود! محبت و حمایتت باعث شد تا بتوانم بر مشکلات فائق آیم و مسیر خود را پیدا کنم.,,
16,تقدیم به معلم و استاد,به استاد عزیزم که علمش همچون نوری روشن بر سر راه ما بوده است؛ از شما سپاسگزارم برای تمام زحماتتان! شما همواره نشان داده‌اید که علم باید با عشق همراه باشد تا بتواند تأثیرگذار باشد.,,
17,تقدیم به معلم و استاد,این اثر تقدیم به معلمانی می‌شود که هر روز برای بهتر شدن تلاش می‌کنند؛ شما الهام‌بخش ما هستید! تلاش‌های شما نه تنها بر روی دانش‌آموختگان تأثیر گذاشته بلکه بر روی جامعه نیز اثرگذار بوده است.,,
18,تقدیم به معلم و استاد,"به یاد تمامی معلمانی که با عشق و فداکاری خود، بذر علم را در دل‌های ما کاشتند؛ وجودتان گرانبهاست! شما با زحماتتان نسل‌های آینده را شکل داده‌اید و این میراث گرانبها همیشه زنده خواهد ماند!",,
19,تقدیم به معلم و استاد,"این اثر را به یاد آنهایی تقدیم می‌کنم که در مسیر یادگیری، چراغ راه ما بودند؛ شما همیشه در یاد ما خواهید ماند! هر درس شما همچون دانه‌ای بود که در دل ما کاشته شد تا روزی شکوفا شود!",,
20,تقدیم به معلم و استاد,"به استاد بزرگوارم که با صداقت و فداکاری‌اش، مرا در مسیر علم هدایت کرد؛ وجودت مایه افتخار من است! آموزه‌هایت همچون چراغ‌هایی هستند که همواره راهنمای من خواهند بود!",,
21,تقدیم به معلم و استاد,"این اثر را به معلمی تقدیم می‌کنم که هر روز با عشق و شور زندگی، ما را تشویق کرد تا بهترین نسخه از خود باشیم; تو همیشه در قلب ما خواهی بود!",,
